Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
85,0.28385,47.70513,0.0,0.0,1.0,1.513,13.30942,0,0,121,55.86615,0.00108,0.0,1.077,-1.0,1.0,201.13464076079805
86,0.28514,47.79349,0.0,0.0,0.0,1.509,13.8455,0,0,121,55.86985,0.0012,0.0,1.075,-1.0,1.0,201.05121250424546
87,0.29603,48.03422,0.0,0.0,0.0,1.491,13.94633,0,0,121,55.8792,0.00104,0.0,1.058,-1.0,1.0,201.00251335280774
88,0.28749,47.88386,0.0,0.0,0.0,1.498,14.00539,0,0,121,55.87222,0.00111,0.0,1.066,0.34549,1.0,200.9662080783704
89,0.29639,48.02652,0.0,0.0,0.0,1.504,13.51845,0,0,121,55.87648,0.0012,0.0,1.07,-1.0,1.0,200.91154812405796
90,0.30298,48.27975,0.0,0.0,1.6,1.511,14.16196,0,0,121,55.88312,0.00101,0.0,1.056,-1.0,1.0,200.8404972245272
91,0.29346,48.06264,0.0,0.0,0.8,1.504,14.16207,0,0,121,55.87552,0.00109,0.0,1.062,-1.0,1.0,200.90279811690576
92,0.29262,47.9852,0.0,0.0,0.0,1.503,13.67015,0,0,121,55.86678,0.0013,0.0,1.075,-1.0,1.0,201.0841700530197
93,0.29303,48.3928,0.0,0.0,3.0,1.482,14.23158,0,0,121,55.86145,0.00128,0.0,1.065,-1.0,1.0,201.33712835335297
94,0.2892,48.12692,0.0,0.0,0.0,1.496,14.29364,0,0,121,55.84152,0.00083,0.0,1.068,-1.0,1.0,201.63395795317882
95,0.28587,48.0948,0.0,0.0,0.0,1.494,14.30946,0,0,121,55.82197,0.00115,0.0,1.065,-1.0,1.0,201.96305309659067
96,0.29547,48.40068,0.0,0.0,0.8,1.473,13.81278,0,0,121,55.80258,0.00128,0.0,1.099,0.40336,1.0,202.42859879555866
97,0.28824,48.15895,0.0,0.0,0.0,1.514,14.44898,0,0,121,55.77233,0.0012,0.0,1.2,-1.0,1.0,202.9022576169789
98,0.28394,48.29829,0.0,0.0,0.7,1.493,14.40106,0,0,121,55.73213,0.00113,0.0,1.214,-1.0,1.0,203.358475730842
99,0.29312,48.43087,0.0,0.0,0.6,1.508,14.6217,0,0,121,55.66277,0.00142,0.0,1.119,-1.0,1.0,203.93998723393207
100,0.29904,48.53613,0.0,0.0,1.4,1.548,14.97347,0,0,121,55.36716,0.00104,0.0,1.157,-1.0,1.0,204.06029251940697
101,0.29985,48.70062,0.0,0.0,0.0,1.561,15.54888,0,0,121,55.03183,0.00194,0.0,1.185,-1.0,1.0,204.1756172829134
102,0.29523,48.75134,0.0,0.0,2.0,1.535,15.77591,0,0,121,54.62364,0.00071,0.0,1.185,-1.0,1.0,203.95528661736705
103,0.28868,48.75773,0.0,0.0,1.8,1.525,15.93921,0,0,121,54.1708,0.00073,0.0,1.219,-1.0,1.0,203.74426429644723
104,0.24156,49.03902,0.0,0.0,0.0,1.506,15.35601,0,0,121,53.75328,0.00148,0.0,1.243,0.386,1.0,203.4501462674771
105,0.29015,48.91588,0.0,0.0,0.0,1.515,16.32237,0,0,121,53.17658,0.00099,0.0,1.09,-1.0,1.0,202.77751368660194
106,0.24049,49.10841,0.0,0.0,0.9,1.499,16.11313,0,0,121,53.74778,0.00108,0.0,1.24,-1.0,1.0,203.47698524718248
107,0.28355,49.03811,0.0,0.0,0.0,1.508,15.17732,0,0,121,54.16616,0.00123,0.0,1.219,-1.0,1.0,203.83571793491276
108,0.29491,49.07804,0.0,0.0,1.0,1.498,15.71766,0,0,121,54.63022,0.00125,0.0,1.184,-1.0,1.0,203.93431782280885
109,0.29331,49.04982,0.0,0.0,0.0,1.507,15.52589,0,0,121,55.03081,0.00102,0.0,1.186,-1.0,1.0,204.17422504543947
110,0.28921,48.95864,0.0,0.0,0.0,1.492,15.47178,0,0,121,55.37289,0.00113,0.0,1.159,-1.0,1.0,204.15833642869902
